Bankname,Tablename,Exposureclass,OriginalexposureOBS,OriginalexposureOffBS,AverageCCF,EAD,AveragePD,Obligornumber,AverageLGD,Averagematurity,RWA,RWA%,EL,Provisions
HSBC,CR6,Institutions,0.13759988177874172,-0.11360680260559937,-0.7581014110478383,0.07390217595632984,-0.9240505145666087,-0.3929861898573375,-0.24418045624022575,-1.4023598193294853,-0.12869082464039705,-0.8532815102720974,-0.6280736114368993,0.6329306468684877
HSBC,CR6,CorporateOther,2.23650687250222,5.70118497726186,-0.6773849019926322,3.0193497647443195,-0.3271708900659209,-0.3858464611410444,-0.24102665352746286,-0.9197120803633145,6.159800084386667,0.44231220436103014,5.409727411277427,-5.030028613546355
HSBC,CR6,CorporateSL,-0.49631855906115274,-0.31244086802659915,-0.06071077281085679,-0.5355329556908682,-0.6542282185594486,-0.3934264152228332,-0.2520105871132923,1.815291773778319,-0.4082541591070528,0.4030517887660868,-0.49085086092066466,0.47987769388430274
HSBC,CR6,CorporateSME,-0.504406832628488,-0.2800382795876214,-0.8033026561187538,-0.5364662407316756,-0.16159811751607264,-0.3926239919407081,-0.24635549259385534,-0.7588295007079242,-0.3813082955440017,0.7563955291205761,-0.49085086092066466,0.47987769388430274
HSBC,CR6,RESME,-0.582256465714089,-0.39639302898213236,-1.5814098034109418,-0.6269948896899884,0.9360880412403291,-0.3932984444161584,-0.258753199809544,0.36734855687980716,-0.5732975734307412,0.3637913731711436,-0.6280736114368993,0.6329306468684877
HSBC,CR6,REOther,2.581269533309882,-0.11360680260559937,0.21695401833905284,2.3893823621993597,-0.7421248755920841,-0.16845055229463196,-0.2727821842904548,0.36734855687980716,0.7773638376671982,-1.088844003841757,-0.2164053598881953,0.3268247409001178
HSBC,CR6,QRRE,-0.3942041052735461,1.1280014725788658,-0.10914067824398038,-0.00449376747148738,-0.7421248755920841,2.9444847757646424,-0.18904328467571566,0.36734855687980716,-0.05122146689662497,-0.6569794322973811,0.3324856421767435,-0.2853870710366219
HSBC,CR6,OtherRetailSME,-0.5367599268978286,-0.2829839694457103,-1.1778272581349107,-0.6027294786289973,0.521134055714166,-0.2544436048229377,-0.20405103551575984,0.36734855687980716,-0.4958282156869691,1.8556871657789873,-0.35362811040443,0.3268247409001178
HSBC,CR6,OtherRetailNonSME,-0.34264136128178435,0.3473936601853112,-1.2391718050168674,-0.3526090876926281,-0.439596846735571,-0.23693925410947422,-0.23450154446657406,0.36734855687980716,-0.18595078471188076,-0.028812782778288935,-0.2164053598881953,0.1737717879159329
NatWest Group,CR6,CGCB,-0.2297290622817853,-0.39477289956018347,0.5527346960087106,-0.297853254348461,-0.9424474892943696,-0.39345392026046694,4.716316203665095,-2.271125749468592,-0.5210562804478758,-1.36366691300636,-0.6253291564265746,0.629869587808804
